"iduser";"pseudo";"name";"surname";"idusershare";"pseudoshare";"nameshare";"surnameshare";"idtrack";"nametrack"
228;Lorenzo2;Brault;Lorenzo;196;Lucie2;Masse;Lucie;"6U1F1VSUXZHNRRghDcSFhe";Manque
467;Constant2;Schneider;Constant;128;Alexandre4;Gauthier;Alexandre;"6W9l02gRsXVxzIuQC1oc1X";pretty isn’t pretty
172;Adrien2;Laine;Adrien;38;Cédric2;Lacoste;Cédric;"6XCrAL7AKz34KxvhsoW2UF";Long time (feat. Ninho)
396;Zacharis3;Magnier;Zacharis;492;Regnier5;Regnier;"";"6Y2Iom5hrfZyhBRGqcrJdc";Take It Easy
498;Roméo6;Legrand;Roméo;139;Edwige;Fischer;Edwige;"6ZELMmjtFzkqNHdY8VIQBc";Bectance
281;Florentin2;Dubois;Florentin;312;Kilian4;Magnier;Kilian;"6ZZf5a8oiInHDkBe9zXfLP";Curtains
339;Paul2;Bazin;Paul;457;Florentin4;Noel;Florentin;"6cETuNTKBm0k4NiCJwU2bT";GMAIL
200;Dos santos;Dos santos;"";30;Kevin;Delahaye;Kevin;"6cnF63Qm1qAJ0sHKvM5BOg";After All
201;Laura;Dias;Laura;457;Florentin4;Noel;Florentin;"6eOP4Tu24yDS2zsxJOGFus";Won't Sleep
186;Julia;Guillot;Julia;210;Alexandre6;Monier;Alexandre;"6jN7dtSzFRUQ2GeDvKWpjk";Aime-moi
74;Félix3;Monnier;Félix;367;Justine;Regnier;Justine;"6lJ3lKuVpq3aWwjldmt8kO";Alleluia
343;Gabriel3;Gerard;Gabriel;47;Félix;Chapuis;Félix;"6tTwumk2d7pzpQa6I2fW1z";Mauvaise conduite (feat. TIG)
152;Noë2;Durant;Noë;482;Leonard;Leonard;"";"6tTwumk2d7pzpQa6I2fW1z";Mauvaise conduite (feat. TIG)
128;Alexandre4;Gauthier;Alexandre;299;Malo3;Prevost;Malo;"6uOkeuBxSF81AZ5hwwPRGy";Avec le temps
482;Leonard;Leonard;"";478;Tristan4;Michel;Tristan;"6vWJLIeO77uR94c60lGcI1";Plan
25;Dylan;Rey;Dylan;135;Corentin;Pujol;Corentin;"6vWJLIeO77uR94c60lGcI1";Plan
288;Simon7;Leclercq;Simon;186;Julia;Guillot;Julia;"6x2np4Zom7mZ5CoH5Nmt7U";To All The People
256;Aaron3;Prat;Aaron;482;Leonard;Leonard;"";"6y69UqMVj8viUkzxRVhLEO";J'réfléchis
365;Clément3;Bataille;Clément;228;Lorenzo2;Brault;Lorenzo;"70AYiGbc4mWZGEqiipBBDb";CANDY
113;Alexandra;Berthier;Alexandra;467;Constant2;Schneider;Constant;"72FZlIgHqcWxTeoRHs5vc5";Someday
160;Gaspard;Levy;Gaspard;219;Paul;Gillet;Paul;"747c4JJJsCnh5ErxcYdrl5";Josie's Tune - 2019 Remaster
81;Kilian2;Roques;Kilian;229;Thibault;Richard;Thibault;"74eJR4gwG1ZmG4BFkbrOlA";Life Goes On
446;Amandine;Guichard;Amandine;160;Gaspard;Levy;Gaspard;"74gykWHknHDrg4eMdcmdRq";Farewell
201;Laura;Dias;Laura;190;Dumas;Dumas;"";"75rqqKvzJCGv2oq9C4yFDt";PROMESA
363;Adrien5;Nguyen;Adrien;69;Adrian2;Blondel;Adrian;"77AFBATUZRpB06yWm0Q7yA";Les jeunes
453;Lana;Wagner;Lana;365;Clément3;Bataille;Clément;"7BVwi9cIzSc6tpyxsp47vJ";Mess Is Mine
482;Leonard;Leonard;"";462;Fabrice3;Tessier;Fabrice;"7DfBKw4PYAar1FXOFLqMFE";"200 KM/H"
365;Clément3;Bataille;Clément;457;Florentin4;Noel;Florentin;"7DmiHaP1MxL9i1p0kHhXq2";Wasted Time
195;Agathe;Le corre;Agathe;164;Tristan;Comte;Tristan;"7EUmMPZHP5H1jLAtvWOaU6";ENSEMBLE CROCO
160;Gaspard;Levy;Gaspard;195;Agathe;Le corre;Agathe;"7Et3FSUilnoNowxIpj1o51";Filipina queen
360;Mattéo3;Bourgeois;Mattéo;457;Florentin4;Noel;Florentin;"7LrsyGhm0AfkECNM34dAnS";One Tribe
339;Paul2;Bazin;Paul;265;Quentin3;Vincent;Quentin;"7czjhxMkpvai0CvlRf59e3";Hi-Heel Sneakers
152;Noë2;Durant;Noë;30;Kevin;Delahaye;Kevin;"7dQfQcp2wPAGgMv7elXF6V";Camouflage
219;Paul;Gillet;Paul;47;Félix;Chapuis;Félix;"7jLoUQCN6HeC4MNQxr0wcD";Body Talk
229;Thibault;Richard;Thibault;482;Leonard;Leonard;"";"7lGTxBDhX0tTx09NhW2HGT";De mon mieux
475;Adam4;Colas;Adam;482;Leonard;Leonard;"";"7mEbGMir9U5IufuJwYnntv";Dr Komprann
195;Agathe;Le corre;Agathe;341;Erwan2;Martin;Erwan;"7nOauEI7A24YqUGDh8DJHO";A peu près
97;Bruno2;Monier;Bruno;498;Roméo6;Legrand;Roméo;"7tpuMQzmo5JzfF5c6Yg7PR";Sad Wedding
